Miejscowość,Parafia,Rodzaj Księgi,Rok od,Rok do,voivodeship,parish_id
Barkowo-Groß Bargen,Barkowo-Groß Bargen,Śluby,1850,1870,dolnośląskie,11110
Barkowo-Groß Bargen (ewang.),Barkowo-Groß Bargen (ewang.),Śluby,1850,1870,dolnośląskie,11111
Bierutów-Bernstadt,Bierutów-Bernstadt,Śluby,1945,1945,dolnośląskie,16568
Bogdanów-Neuhof USC,Bogdanów-Neuhof USC,Śluby,1881,1881,dolnośląskie,16080
Boguszów-Gottesberg  USC,Boguszów-Gottesberg  USC,Śluby,1945,1945,dolnośląskie,16997
Bolesławice-Bunzelwitz USC,Bolesławice-Bunzelwitz USC,Śluby,1942,1945,dolnośląskie,17231
Bolków (ewang.),Bolków (ewang.),Chrzty,1833,1834,dolnośląskie,5138
Chrząstawa Wielka-Klarenkranst USC,Chrząstawa Wielka-Klarenkranst USC,Śluby,1890,1904,dolnośląskie,5813
Chwalibożyce-Frauenhain USC,Chwalibożyce-Frauenhain USC,Śluby,1889,1906,dolnośląskie,6406
Czarny Bór-Schwarzwaldau USC,Czarny Bór-Schwarzwaldau USC,Śluby,1889,1945,dolnośląskie,5906
Domasław-Domslau USC,Domasław-Domslau USC,Śluby,1892,1904,dolnośląskie,6286
Drogomiłowice-Dromsdorf USC,Drogomiłowice-Dromsdorf USC,Śluby,1876,1913,dolnośląskie,5840
Dziadkowo-Altenau USC,Dziadkowo-Altenau USC,Śluby,1899,1899,dolnośląskie,5798
Dziećmorowice-Dittmannsdorf USC,Dziećmorowice-Dittmannsdorf USC,Śluby,1945,1945,dolnośląskie,17229
Dziećmorowice-Dittmannsdorf USC,Dziećmorowice-Dittmannsdorf USC,Zgony,1945,1945,dolnośląskie,17237
Dzikowa-Ebersdorf USC,Dzikowa-Ebersdorf USC,Śluby,1889,1914,dolnośląskie,6095
Gaj Oławski-Goy USC,Gaj Oławski-Goy USC,Śluby,1885,1920,dolnośląskie,5839
Galowice-Gallowitz,Galowice-Gallowitz,Śluby,1889,1906,dolnośląskie,6824
Gębczyce-Geppersdorf USC,Gębczyce-Geppersdorf USC,Śluby,1883,1885,dolnośląskie,7807
Głogów-Glogau (garn.),Głogów-Glogau (garn.),Śluby,1851,1894,dolnośląskie,6155
Gniechowice-Gnichwitz USC,Gniechowice-Gnichwitz USC,Śluby,1883,1903,dolnośląskie,5800
Goszcz-Goschütz USC,Goszcz-Goschütz USC,Śluby,1878,1884,dolnośląskie,7808
Goszczyna-Gusten USC,Goszczyna-Gusten USC,Śluby,1889,1904,dolnośląskie,5923
Goszczyna-Gusten USC,Goszczyna-Gusten USC,Zgony,1884,1905,dolnośląskie,9379
Górowo-Konradswaldau,Górowo-Konradswaldau,Śluby,1819,1820,dolnośląskie,7526
Jawor (ewang.),Jawor (ewang.),Zgony,1955,1962,dolnośląskie,12632
Jaworzyna Śląska-Königszelt USC,Jaworzyna Śląska-Königszelt USC,Śluby,1944,1945,dolnośląskie,17179
Jedlina-Zdrój-Jedlinka-Tannhausen USC,Jedlina-Zdrój-Jedlinka-Tannhausen USC,Śluby,1889,1914,dolnośląskie,13580
Kamieniec Wrocławski,Kamieniec Wrocławski,Śluby,1874,1888,dolnośląskie,7060
Kamionki-Steinkunzendorf USC,Kamionki-Steinkunzendorf USC,Śluby,1878,1883,dolnośląskie,12372
Karczyce-Kertschütz,Karczyce-Kertschütz,Śluby,1807,1902,dolnośląskie,13027
Karolin-Karlsdorf USC,Karolin-Karlsdorf USC,Śluby,1884,1898,dolnośląskie,5799
Karpacz-Bierutowice (ewang.),Karpacz-Bierutowice (ewang.),Śluby,1845,1894,dolnośląskie,5164
Kątna-Süßwinkel USC,Kątna-Süßwinkel USC,Śluby,1878,1888,dolnośląskie,7548
Kąty Wrocławskie-Canth USC,Kąty Wrocławskie-Canth USC,Śluby,1890,1907,dolnośląskie,5794
Kluczowa  - Kleutsch USC,Kluczowa  - Kleutsch USC,Chrzty,1874,1882,dolnośląskie,8574
Kluczowa  - Kleutsch USC,Kluczowa  - Kleutsch USC,Śluby,1876,1887,dolnośląskie,8575
Kluczowa  - Kleutsch USC,Kluczowa  - Kleutsch USC,Zgony,1874,1880,dolnośląskie,8576
Kłodzko-Glatz (ewang.),Kłodzko-Glatz (ewang.),Śluby,1779,1855,dolnośląskie,5156
Kudowa Zdrój-Czermna-Tscherbeney USC,Kudowa Zdrój-Czermna-Tscherbeney USC,Śluby,1890,1895,dolnośląskie,11234
Kuźnice Świdnickie-Fellhammer USC,Kuźnice Świdnickie-Fellhammer USC,Śluby,1945,1945,dolnośląskie,17181
Kuźnice Świdnickie-Fellhammer USC,Kuźnice Świdnickie-Fellhammer USC,Zgony,1945,1945,dolnośląskie,17182
Laskowice-Laskowitz USC,Laskowice-Laskowitz USC,Śluby,1883,1885,dolnośląskie,10567
Legnica-Liegnitz (garn.),Legnica-Liegnitz (garn.),Śluby,1894,1917,dolnośląskie,12663
Masłów-Massel (ewang.),Masłów-Massel (ewang.),Chrzty,1824,1862,dolnośląskie,5134
Międzybórz miasto USC,Międzybórz miasto USC,Śluby,1875,1893,dolnośląskie,4667
Międzybórz miasto USC,Międzybórz miasto USC,Zgony,1875,1893,dolnośląskie,4651
Międzybórz USC,Międzybórz USC,Zgony,1875,1880,dolnośląskie,4658
Milicz - Militsch (garn.)(rz-kat.),Milicz - Militsch (garn.)(rz-kat.),Śluby,1834,1915,dolnośląskie,9168
Milicz-Militsch (garn.) (ewang.),Milicz-Militsch (garn.) (ewang.),Chrzty,1834,1912,dolnośląskie,12604
Milicz-Militsch (garn.) (ewang.),Milicz-Militsch (garn.) (ewang.),Śluby,1834,1941,dolnośląskie,6458
Milin-Fürstenau USC,Milin-Fürstenau USC,Śluby,1889,1933,dolnośląskie,5882
Minkowice Oławskie-Minken USC,Minkowice Oławskie-Minken USC,Śluby,1878,1885,dolnośląskie,16078
Mnichowice-Munchwitz USC,Mnichowice-Munchwitz USC,Śluby,1879,1882,dolnośląskie,10556
Mrowiny-Konradswaldau USC,Mrowiny-Konradswaldau USC,Chrzty,1921,1925,dolnośląskie,17245
Muchobór Wielki-Gross Mochbern USC,Muchobór Wielki-Gross Mochbern USC,Chrzty,1874,1875,dolnośląskie,12934
Muchobór Wielki-Gross Mochbern USC,Muchobór Wielki-Gross Mochbern USC,Zgony,1874,1877,dolnośląskie,12935
Nawojowice-Haltauf USC,Nawojowice-Haltauf USC,Śluby,1883,1884,dolnośląskie,9162
Nawojowice-Haltauf USC,Nawojowice-Haltauf USC,Zgony,1881,1907,dolnośląskie,9163
Niemcza-Nimptsch USC,Niemcza-Nimptsch USC,Śluby,1889,1935,dolnośląskie,5876
Oława-Ohlau-Baumgarten USC,Oława-Ohlau-Baumgarten USC,Śluby,1889,1906,dolnośląskie,5966
Ostrężna-Algersdorf USC,Ostrężna-Algersdorf USC,Śluby,1886,1893,dolnośląskie,5822
Ostroszowice-Weigelsdorf USC,Ostroszowice-Weigelsdorf USC,Śluby,1914,1933,dolnośląskie,6370
Piechowice-Petersdorf USC,Piechowice-Petersdorf USC,Śluby,1902,1914,dolnośląskie,14399
Piława-Beilau USC,Piława-Beilau USC,Śluby,1889,1908,dolnośląskie,6075
Piotrowice -Groß Peterwitz USC,Piotrowice -Groß Peterwitz USC,Śluby,1883,1884,dolnośląskie,8577
Prusice-Prausnitz ( ewang.),Prusice-Prausnitz ( ewang.),Śluby,1815,1900,dolnośląskie,7446
Siekierczyn-Geibsdorf USC,Siekierczyn-Geibsdorf USC,Chrzty,1890,1890,dolnośląskie,5812
Sokolniki Wättrisch USC,Sokolniki Wättrisch USC,Śluby,1883,1888,dolnośląskie,7686
Stary Jaworów-Alt Jauernick USC,Stary Jaworów-Alt Jauernick USC,Śluby,1942,1945,dolnośląskie,17230
Stary Lesieniec-Alt Lässig USC,Stary Lesieniec-Alt Lässig USC,Śluby,1944,1945,dolnośląskie,17106
Stary Lesieniec-Alt Lässig USC,Stary Lesieniec-Alt Lässig USC,Zgony,1945,1945,dolnośląskie,17107
Stary Śleszów-Alt Schliesa USC,Stary Śleszów-Alt Schliesa USC,Śluby,1890,1906,dolnośląskie,5756
Sułów Miasto - Sulau Stadt USC,Sułów Miasto - Sulau Stadt USC,Chrzty,1874,1888,dolnośląskie,7273
Sułów Miasto - Sulau Stadt USC,Sułów Miasto - Sulau Stadt USC,Śluby,1875,1888,dolnośląskie,7005
Sułów Zamek - Sulau Schloss USC,Sułów Zamek - Sulau Schloss USC,Chrzty,1874,1888,dolnośląskie,7638
Sułów Zamek - Sulau Schloss USC,Sułów Zamek - Sulau Schloss USC,Śluby,1874,1888,dolnośląskie,7004
Syców-Gross Wartenberg (ewang.),Syców-Gross Wartenberg (ewang.),Śluby,1805,1873,dolnośląskie,9855
Środa Śląska-Neumarkt USC,Środa Śląska-Neumarkt USC,Śluby,1875,1885,dolnośląskie,10566
Świdnica-Schweidnitz USC,Świdnica-Schweidnitz USC,Śluby,1900,1913,dolnośląskie,5983
Świebodzice-Ciernie-Zirlau USC,Świebodzice-Ciernie-Zirlau USC,Zgony,1945,1945,dolnośląskie,16995
Świebodzice-Ciernie-Zirlau USC,Świebodzice-Ciernie-Zirlau USC,Śluby,1943,1945,dolnośląskie,16976
Świebodzice-Freiburg USC,Świebodzice-Freiburg USC,Śluby,1945,1945,dolnośląskie,16986
Świebodzice-Freiburg USC,Świebodzice-Freiburg USC,Zgony,1945,1945,dolnośląskie,16996
Świebodzice-Pełcznica-Polsnitz USC,Świebodzice-Pełcznica-Polsnitz USC,Śluby,1945,1945,dolnośląskie,16987
Świebodzice-Pełcznica-Polsnitz USC,Świebodzice-Pełcznica-Polsnitz USC,Zgony,1945,1945,dolnośląskie,16994
Trzebnica - Trebnitz (ewang.),Trzebnica - Trebnitz (ewang.),Śluby,1766,1827,dolnośląskie,6717
Twardogóra-Festenberg USC,Twardogóra-Festenberg USC,Śluby,1889,1901,dolnośląskie,6047
Udanin-Gäbersdorf USC,Udanin-Gäbersdorf USC,Śluby,1879,1913,dolnośląskie,5908
Unięcice-Meffersdorf (ewang.),Unięcice-Meffersdorf (ewang.),Chrzty,1815,1828,dolnośląskie,15972
Wałbrzych-Rusinowa-Reußendorf USC,Wałbrzych-Rusinowa-Reußendorf USC,Śluby,1945,1945,dolnośląskie,17104
Wałbrzych-Rusinowa-Reußendorf USC,Wałbrzych-Rusinowa-Reußendorf USC,Zgony,1945,1945,dolnośląskie,17105
Wałbrzych-Sobięcin-Hermsdorf USC,Wałbrzych-Sobięcin-Hermsdorf USC,Śluby,1945,1945,dolnośląskie,17102
Wałbrzych-Sobięcin-Hermsdorf USC,Wałbrzych-Sobięcin-Hermsdorf USC,Zgony,1945,1945,dolnośląskie,17103
Wałbrzych-Stary Zdrój-Altwasser USC,Wałbrzych-Stary Zdrój-Altwasser USC,Śluby,1889,1895,dolnośląskie,6245
Wałbrzych-Waldenburg USC,Wałbrzych-Waldenburg USC,Śluby,1889,1945,dolnośląskie,13377
Wierzbica-Schlanz  USC,Wierzbica-Schlanz  USC,Śluby,1875,1880,dolnośląskie,16081
Witków-Wittgendorf USC,Witków-Wittgendorf USC,Chrzty,1900,1900,dolnośląskie,17249
Witków-Wittgendorf USC,Witków-Wittgendorf USC,Śluby,1874,1945,dolnośląskie,17243
Wrocław (garn. II) (ewang.),Wrocław (garn. II) (ewang.),Śluby,1857,1876,dolnośląskie,6270
Wrocław (garn.- Dyw.11),Wrocław (garn.- Dyw.11),Śluby,1820,1827,dolnośląskie,14697
Wrocław (garn.- IR10),Wrocław (garn.- IR10),Śluby,1834,1836,dolnośląskie,14698
Wrocław Odkupiciela (ewang.),Wrocław Odkupiciela (ewang.),Chrzty,1828,1834,dolnośląskie,6719
Wrocław Odkupiciela (ewang.),Wrocław Odkupiciela (ewang.),Śluby,1833,1834,dolnośląskie,12832
Wrocław Opatrzności Bożej (ewang.-ref.),Wrocław Opatrzności Bożej (ewang.-ref.),Śluby,1841,1870,dolnośląskie,11166
Wrocław Szpital Wsz.Św. (ewang.),Wrocław Szpital Wsz.Św. (ewang.),Chrzty,1889,1916,dolnośląskie,14695
Wrocław św. Barbara (ewang.),Wrocław św. Barbara (ewang.),Śluby,1903,1904,dolnośląskie,12634
Wrocław Św. Elżbieta (ewang.),Wrocław Św. Elżbieta (ewang.),Chrzty,1894,1898,dolnośląskie,11402
Wrocław Św. Elżbieta (ewang.),Wrocław Św. Elżbieta (ewang.),Śluby,1874,1874,dolnośląskie,6797
Wrocław Św. Krzysztof (ewang.),Wrocław Św. Krzysztof (ewang.),Chrzty,1837,1846,dolnośląskie,6780
Wrocław Zbawiciela (ewang.),Wrocław Zbawiciela (ewang.),Chrzty,1899,1900,dolnośląskie,12633
Wrocław Zbawiciela (ewang.),Wrocław Zbawiciela (ewang.),Śluby,1899,1917,dolnośląskie,12373
Wrocław-Gaj-Herdain USC,Wrocław-Gaj-Herdain USC,Śluby,1876,1877,dolnośląskie,16076
Wrocław-Karłowice-Carlowitz USC,Wrocław-Karłowice-Carlowitz USC,Śluby,1890,1903,dolnośląskie,5772
Wrocław-Leśnica-Deutsch Lissa USC,Wrocław-Leśnica-Deutsch Lissa USC,Śluby,1891,1898,dolnośląskie,5774
Wrocław-Popowice-Pöpelwitz USC,Wrocław-Popowice-Pöpelwitz USC,Śluby,1874,1875,dolnośląskie,16077
Wrocław-powiat-Breslau-land USC,Wrocław-powiat-Breslau-land USC,Śluby,1889,1901,dolnośląskie,14696
Wrocław-Pracze Odrzańskie-Herrnprotsch (ewang.),Wrocław-Pracze Odrzańskie-Herrnprotsch (ewang.),Śluby,1871,1874,dolnośląskie,16079
Wrocław-Tarnogaj-Dürrgoy USC,Wrocław-Tarnogaj-Dürrgoy USC,Śluby,1875,1877,dolnośląskie,12616
Wrocław-Żerniki-Neukirch USC,Wrocław-Żerniki-Neukirch USC,Śluby,1874,1877,dolnośląskie,10568
Złotów-Schlottau (ewang.),Złotów-Schlottau (ewang.),Śluby,1872,1900,dolnośląskie,10825
Zwierzętnik Thiergarten USC,Zwierzętnik Thiergarten USC,Śluby,1874,1888,dolnośląskie,7687
Żmigród-Trachenberg USC,Żmigród-Trachenberg USC,Śluby,1875,1888,dolnośląskie,7547
Żmigródek-Schmiegrode USC,Żmigródek-Schmiegrode USC,Śluby,1889,1912,dolnośląskie,6148
Barcin USC,Barcin USC,Chrzty,1874,1874,kujawsko-pomorskie,1609
Bądkowo,Bądkowo,Chrzty,1719,1917,kujawsko-pomorskie,2769
Bądkowo,Bądkowo,Śluby,1718,1920,kujawsko-pomorskie,2770
Bądkowo,Bądkowo,Zgony,1717,1917,kujawsko-pomorskie,12061
Biskupice,Biskupice,Chrzty,1774,1816,kujawsko-pomorskie,10869
Biskupice,Biskupice,Śluby,1774,1850,kujawsko-pomorskie,10870
Błądzim-Rykowisko,Błądzim-Rykowisko,Zgony,1924,2009,kujawsko-pomorskie,1135
Błenna,Błenna,Chrzty,1744,1923,kujawsko-pomorskie,1236
Błenna,Błenna,Śluby,1726,1923,kujawsko-pomorskie,149
Błenna,Błenna,Zgony,1726,1923,kujawsko-pomorskie,1237
Błędowo,Błędowo,Chrzty,1764,1821,kujawsko-pomorskie,10156
Błędowo,Błędowo,Śluby,1764,1850,kujawsko-pomorskie,10155
Bobrowniki,Bobrowniki,Chrzty,1722,1922,kujawsko-pomorskie,3723
Bobrowniki,Bobrowniki,Śluby,1724,1922,kujawsko-pomorskie,3724
Bobrowniki,Bobrowniki,Zgony,1779,1922,kujawsko-pomorskie,3725
Bobrowo,Bobrowo,Chrzty,1775,1890,kujawsko-pomorskie,7831
Bobrowo,Bobrowo,Śluby,1771,1895,kujawsko-pomorskie,10867
Bobrowo,Bobrowo,Zgony,1773,1890,kujawsko-pomorskie,7836
Bobrowo USC,Bobrowo USC,Chrzty,1900,1911,kujawsko-pomorskie,10865
Bobrowo USC,Bobrowo USC,Śluby,1874,1942,kujawsko-pomorskie,10866
Boniewo,Boniewo,Chrzty,1763,1923,kujawsko-pomorskie,1848
Boniewo,Boniewo,Śluby,1764,1923,kujawsko-pomorskie,192
Boniewo,Boniewo,Zgony,1763,1923,kujawsko-pomorskie,1680
Branno,Branno,Chrzty,1781,1925,kujawsko-pomorskie,1865
Branno,Branno,Śluby,1781,1874,kujawsko-pomorskie,15864
Branno,Branno,Zgony,1781,1925,kujawsko-pomorskie,15865
Brodnica (ewang.),Brodnica (ewang.),Chrzty,1790,1799,kujawsko-pomorskie,7399
Brodnica (ewang.),Brodnica (ewang.),Śluby,1796,1847,kujawsko-pomorskie,7437
Brodnica (ewang.),Brodnica (ewang.),Zgony,1801,1812,kujawsko-pomorskie,12916
Brodnica (gmina) USC,Brodnica (gmina) USC,Śluby,1874,1918,kujawsko-pomorskie,10941
Brodnica (gmina) USC,Brodnica (gmina) USC,Zgony,1874,1900,kujawsko-pomorskie,12738
Brodnica św.Katarzyny,Brodnica św.Katarzyny,Chrzty,1639,1890,kujawsko-pomorskie,10944
Brodnica św.Katarzyny,Brodnica św.Katarzyny,Śluby,1693,1897,kujawsko-pomorskie,10942
Brodnica św.Katarzyny,Brodnica św.Katarzyny,Zgony,1801,1856,kujawsko-pomorskie,10946
Broniewo,Broniewo,Chrzty,1713,1917,kujawsko-pomorskie,7347
Broniewo,Broniewo,Śluby,1717,1940,kujawsko-pomorskie,11508
Broniewo,Broniewo,Zgony,1700,1917,kujawsko-pomorskie,8948
Bronisław,Bronisław,Chrzty,1720,1911,kujawsko-pomorskie,4017
Bronisław,Bronisław,Śluby,1720,1911,kujawsko-pomorskie,3988
Bronisław,Bronisław,Zgony,1721,1911,kujawsko-pomorskie,3999
Brudnia,Brudnia,Chrzty,1811,1924,kujawsko-pomorskie,11036
Brudnia,Brudnia,Śluby,1800,1942,kujawsko-pomorskie,11081
Brudnia,Brudnia,Zgony,1821,1939,kujawsko-pomorskie,11233
Brześć Kujawski,Brześć Kujawski,Chrzty,1735,1925,kujawsko-pomorskie,3709
Brześć Kujawski,Brześć Kujawski,Śluby,1709,1926,kujawsko-pomorskie,3710
Brześć Kujawski,Brześć Kujawski,Zgony,1753,1926,kujawsko-pomorskie,17228
Brześć Kujawski USC,Brześć Kujawski USC,Śluby,1940,1945,kujawsko-pomorskie,16551
Brześć Kujawski USC,Brześć Kujawski USC,Zgony,1940,1945,kujawsko-pomorskie,16552
Brzozie,Brzozie,Chrzty,1790,1820,kujawsko-pomorskie,9161
Brzozie,Brzozie,Śluby,1808,1855,kujawsko-pomorskie,7954
Byczyna,Byczyna,Chrzty,1670,1921,kujawsko-pomorskie,3385
Byczyna,Byczyna,Śluby,1696,1921,kujawsko-pomorskie,1528
Byczyna,Byczyna,Zgony,1738,1921,kujawsko-pomorskie,3386
Bydgoszcz (Fara),Bydgoszcz (Fara),Chrzty,1645,1901,kujawsko-pomorskie,1794
Bydgoszcz (Fara),Bydgoszcz (Fara),Śluby,1653,1922,kujawsko-pomorskie,2026
Bydgoszcz (Fara),Bydgoszcz (Fara),Zgony,1866,1942,kujawsko-pomorskie,10406
Bysław,Bysław,Śluby,1853,1944,kujawsko-pomorskie,1362
Bysław,Bysław,Zgony,1972,1984,kujawsko-pomorskie,502
Byszewo,Byszewo,Chrzty,1760,1925,kujawsko-pomorskie,1191
Byszewo,Byszewo,Śluby,1760,1945,kujawsko-pomorskie,576
Byszewo,Byszewo,Zgony,1760,1950,kujawsko-pomorskie,787
Bytoń,Bytoń,Chrzty,1688,1919,kujawsko-pomorskie,2322
Bytoń,Bytoń,Śluby,1695,1919,kujawsko-pomorskie,1526
Bytoń,Bytoń,Zgony,1693,1919,kujawsko-pomorskie,2323
Bzowo,Bzowo,Chrzty,1756,1926,kujawsko-pomorskie,612
Bzowo,Bzowo,Śluby,1770,1945,kujawsko-pomorskie,614
Bzowo,Bzowo,Zgony,1808,2008,kujawsko-pomorskie,613
Cekcyn,Cekcyn,Chrzty,1802,1925,kujawsko-pomorskie,1057
Cekcyn,Cekcyn,Śluby,1830,1909,kujawsko-pomorskie,1058
Cekcyn,Cekcyn,Zgony,1830,1840,kujawsko-pomorskie,1059
Cetty,Cetty,Zgony,1981,1999,kujawsko-pomorskie,14550
Chełmce,Chełmce,Chrzty,1776,1923,kujawsko-pomorskie,8115
Chełmce,Chełmce,Śluby,1779,1939,kujawsko-pomorskie,5842
Chełmce,Chełmce,Zgony,1780,1939,kujawsko-pomorskie,12208
Chełmica,Chełmica,Chrzty,1822,1922,kujawsko-pomorskie,4981
Chełmica,Chełmica,Śluby,1822,1922,kujawsko-pomorskie,3796
Chełmica,Chełmica,Zgony,1761,1922,kujawsko-pomorskie,4982
Chełmno,Chełmno,Śluby,1751,1878,kujawsko-pomorskie,7793
Chełmonie,Chełmonie,Chrzty,1749,1874,kujawsko-pomorskie,6844
Chełmonie,Chełmonie,Śluby,1749,1774,kujawsko-pomorskie,6845
Chełmonie,Chełmonie,Zgony,1749,1847,kujawsko-pomorskie,6916
Chełmża,Chełmża,Chrzty,1796,1800,kujawsko-pomorskie,9569
Chełmża,Chełmża,Śluby,1842,1847,kujawsko-pomorskie,8767
Chlewiska,Chlewiska,Chrzty,1770,1863,kujawsko-pomorskie,8553
Chlewiska,Chlewiska,Śluby,1753,1863,kujawsko-pomorskie,5943
Chlewiska,Chlewiska,Zgony,1769,1879,kujawsko-pomorskie,9856
Choceń,Choceń,Chrzty,1782,1924,kujawsko-pomorskie,1416
Choceń,Choceń,Śluby,1782,1939,kujawsko-pomorskie,1417
Choceń,Choceń,Zgony,1808,1939,kujawsko-pomorskie,1418
Choceń USC,Choceń USC,Śluby,1940,1943,kujawsko-pomorskie,16506
Choceń USC,Choceń USC,Zgony,1940,1943,kujawsko-pomorskie,16505
Chodecz,Chodecz,Chrzty,1690,1924,kujawsko-pomorskie,1223
Chodecz,Chodecz,Śluby,1687,1946,kujawsko-pomorskie,1238
Chodecz,Chodecz,Zgony,1695,1893,kujawsko-pomorskie,1260
Chodecz USC,Chodecz USC,Śluby,1941,1944,kujawsko-pomorskie,16607
Chodecz USC,Chodecz USC,Zgony,1940,1944,kujawsko-pomorskie,16608
Chomętowo,Chomętowo,Zgony,1936,1947,kujawsko-pomorskie,17038
Chrostkowo,Chrostkowo,Chrzty,1763,1911,kujawsko-pomorskie,2658
Chrostkowo,Chrostkowo,Śluby,1781,1914,kujawsko-pomorskie,2659
Chrostkowo,Chrostkowo,Zgony,1781,1910,kujawsko-pomorskie,2765
Chwaliszewo USC,Chwaliszewo USC,Chrzty,1874,1913,kujawsko-pomorskie,14028
Chwaliszewo USC,Chwaliszewo USC,Śluby,1874,1910,kujawsko-pomorskie,14173
Chwaliszewo USC,Chwaliszewo USC,Zgony,1874,1993,kujawsko-pomorskie,14174
Ciechocin,Ciechocin,Chrzty,1670,1915,kujawsko-pomorskie,5601
Ciechocin,Ciechocin,Śluby,1711,1919,kujawsko-pomorskie,5602
Ciechocin,Ciechocin,Zgony,1730,1915,kujawsko-pomorskie,5603
Ciechocinek,Ciechocinek,Chrzty,1918,1924,kujawsko-pomorskie,8982
Ciechocinek,Ciechocinek,Śluby,1918,1943,kujawsko-pomorskie,8983
Ciechocinek,Ciechocinek,Zgony,1918,1943,kujawsko-pomorskie,8984
Czarne,Czarne,Chrzty,1808,1903,kujawsko-pomorskie,3698
Czarne,Czarne,Śluby,1811,1903,kujawsko-pomorskie,3699
Czarne,Czarne,Zgony,1810,1903,kujawsko-pomorskie,3700
Czarże,Czarże,Chrzty,1683,1696,kujawsko-pomorskie,7945
Czernikowo,Czernikowo,Chrzty,1756,1911,kujawsko-pomorskie,3173
Czernikowo,Czernikowo,Śluby,1767,1919,kujawsko-pomorskie,3388
Czernikowo,Czernikowo,Zgony,1808,1911,kujawsko-pomorskie,3444
Dąbie Kujawskie,Dąbie Kujawskie,Chrzty,1809,1924,kujawsko-pomorskie,3359
Dąbie Kujawskie,Dąbie Kujawskie,Śluby,1808,1924,kujawsko-pomorskie,3360
Dąbie Kujawskie,Dąbie Kujawskie,Zgony,1809,1924,kujawsko-pomorskie,3361
Dąbrówka  Nowa,Dąbrówka  Nowa,Śluby,1799,1853,kujawsko-pomorskie,8178
Dąbrówka Królewska,Dąbrówka Królewska,Śluby,1772,1850,kujawsko-pomorskie,9591
Dębowa Łąka,Dębowa Łąka,Chrzty,1737,1784,kujawsko-pomorskie,7055
Dębowa Łąka,Dębowa Łąka,Śluby,1768,1782,kujawsko-pomorskie,9979
Dębowa Łąka,Dębowa Łąka,Zgony,1772,1783,kujawsko-pomorskie,9980
Dębowo,Dębowo,Chrzty,1830,1924,kujawsko-pomorskie,8906
Dębowo,Dębowo,Śluby,1829,1945,kujawsko-pomorskie,11934
Dębowo,Dębowo,Zgony,1830,1950,kujawsko-pomorskie,14960
Dobrcz,Dobrcz,Chrzty,1850,1911,kujawsko-pomorskie,2228
Dobrcz,Dobrcz,Śluby,1775,1930,kujawsko-pomorskie,1227
Dobrcz,Dobrcz,Zgony,1853,1944,kujawsko-pomorskie,2113
Dobrylewo,Dobrylewo,Chrzty,1877,1906,kujawsko-pomorskie,6729
Dobrylewo,Dobrylewo,Śluby,1877,1906,kujawsko-pomorskie,6730
Dobrylewo,Dobrylewo,Zgony,1877,1906,kujawsko-pomorskie,6731
Dobrzejewice,Dobrzejewice,Chrzty,1720,1917,kujawsko-pomorskie,3261
Dobrzejewice,Dobrzejewice,Śluby,1720,1917,kujawsko-pomorskie,1101
Dobrzejewice,Dobrzejewice,Zgony,1737,1917,kujawsko-pomorskie,5949
Dobrzyń nad Drwęcą,Dobrzyń nad Drwęcą,Śluby,1808,1825,kujawsko-pomorskie,6889
Dobrzyń nad Wisłą,Dobrzyń nad Wisłą,Chrzty,1753,1921,kujawsko-pomorskie,3701
Dobrzyń nad Wisłą,Dobrzyń nad Wisłą,Śluby,1754,1938,kujawsko-pomorskie,3702
Dobrzyń nad Wisłą,Dobrzyń nad Wisłą,Zgony,1754,1921,kujawsko-pomorskie,3797
Dobrzyń nad Wisłą (ewang-ausgb.),Dobrzyń nad Wisłą (ewang-ausgb.),Chrzty,1838,1839,kujawsko-pomorskie,17186
Dobrzyń nad Wisłą (ewang-ausgb.),Dobrzyń nad Wisłą (ewang-ausgb.),Śluby,1838,1868,kujawsko-pomorskie,17187
Dobrzyń nad Wisłą (ewang-ausgb.),Dobrzyń nad Wisłą (ewang-ausgb.),Zgony,1838,1839,kujawsko-pomorskie,17188
Drzycim,Drzycim,Chrzty,1754,1925,kujawsko-pomorskie,1016
Drzycim,Drzycim,Śluby,1731,1945,kujawsko-pomorskie,1103
Drzycim,Drzycim,Zgony,1842,2009,kujawsko-pomorskie,778
Dulsk,Dulsk,Chrzty,1744,1910,kujawsko-pomorskie,3983
Dulsk,Dulsk,Śluby,1741,1910,kujawsko-pomorskie,8125
Dulsk,Dulsk,Zgony,1742,1910,kujawsko-pomorskie,9121
Działyń,Działyń,Chrzty,1738,1910,kujawsko-pomorskie,2013
Działyń,Działyń,Śluby,1741,1922,kujawsko-pomorskie,1985
Działyń,Działyń,Zgony,1782,1884,kujawsko-pomorskie,8974
Dźwierzno,Dźwierzno,Chrzty,1762,1815,kujawsko-pomorskie,10314
Dźwierzno,Dźwierzno,Śluby,1708,1847,kujawsko-pomorskie,8769
Falęcin USC,Falęcin USC,Śluby,1874,1917,kujawsko-pomorskie,4538
Gąsawa,Gąsawa,Chrzty,1782,1889,kujawsko-pomorskie,7732
Gąsawa,Gąsawa,Śluby,1782,1919,kujawsko-pomorskie,7766
Gąsawa,Gąsawa,Zgony,1782,1889,kujawsko-pomorskie,3304
Gębice,Gębice,Chrzty,1874,1910,kujawsko-pomorskie,11382
Gębice,Gębice,Śluby,1874,1910,kujawsko-pomorskie,7027
